Account,Cupn,Maturity Date,Quantity,Cost Value,Market Value,Industry,FF,Ticker
9-200100-Galliard Capital,,,,,,,,
Asset-Backed Securities,,,,,,,,
ALLY AUTO RECEIVABLES TR 2018-,2.92,11/15/2022,"26,235.94","26,231.18","26,291.30",,,
ALLY AUTO RECEIVABLES TR 2019-,2.91,9/15/2023,"194,920.34","194,896.80","197,030.66",,,
ALLY AUTO RECEIVABLES TR 2019-,1.93,5/15/2024,"195,048.20","195,042.69","197,122.71",,,
AMERICAN EXPRESS CR ACCOUNT MA,3.18,4/15/2024,"220,000.00","219,970.26","221,380.02",,,
AMERICREDIT AUTOMOBILE RECEIVA,3.15,3/20/2023,"40,075.86","40,069.19","40,150.02",,,
AMERICREDIT AUTOMOBILE RECEIVA,0.37,8/18/2025,"410,000.00","409,994.14","410,275.32",,,
AMERICREDIT AUTOMOBILE RECEIVA,3.38,7/18/2023,"124,511.50","124,503.87","125,243.89",,,
AMERICREDIT AUTOMOBILE RECEIVA,0.53,6/18/2025,"695,000.00","694,906.18","697,372.04",,,
AMERN EXPRESS CR SER 19-1 CL A,2.87,10/15/2024,"1,445,000.00","1,453,869.62","1,472,362.66",,,
BA CR CARD TR 2020-1 NT CL A .,0.34,5/15/2026,"370,000.00","369,914.60","368,754.65",,,
BMW VEH LEASE TR 2021-1 ASSET,0.29,1/25/2024,"685,000.00","684,978.29","685,621.64",,,
BMW VEH OWNER TR SR 20-A CL A3,0.95,10/25/2024,"585,000.00","584,955.83","586,769.45",,,
CAPITAL ONE PRIME AUTO RECEIVA,1.92,5/15/2024,"473,835.55","473,808.91","479,320.77",,,
CARMAX AUTO OWNER TR 2018-4 SE,3.36,9/15/2023,"321,828.72","321,825.77","326,190.24",,,
CARMAX AUTO OWNER TR 2020-3 AS,0.49,6/15/2023,"462,617.19","462,600.30","463,020.78",,,
CARMAX AUTO OWNER TR 2020-4 SE,0.50,8/15/2025,"760,000.00","759,832.72","761,862.30",,,
CARMAX AUTO OWNER TR 2021-2 AS,0.00,2/17/2026,"595,000.00","594,871.78","595,534.43",,,
CARMAX AUTO OWNER TR SER 21-1,0.34,12/15/2025,"610,000.00","609,879.46","609,225.48",,,
CARMAX AUTO OWNER TR SR 20-1 C,1.89,12/16/2024,"640,000.00","639,874.43","651,695.17",,,
CNH EQUIP TR SER 2018-B CLASS,3.19,11/15/2023,"107,147.36","107,132.87","108,578.51",,,
DELL EQUIP FIN TR 2021-1 ASSET,0.43,5/22/2026,"680,000.00","679,870.80","680,454.38",,,
ENTERPRISE FLEET FING 2018-2 L,3.14,2/20/2024,"29,106.03","29,101.63","29,178.71",,,
FORD CR AUTO LEASE TR 2020-A N,1.85,3/15/2023,"1,300,000.00","1,299,936.82","1,306,828.38",,,
FORD CR AUTO LEASE TR 2020-B N,0.62,8/15/2023,"655,000.00","654,963.52","657,387.28",,,
FORD CR AUTO LEASE TR 2021-A N,0.26,2/15/2024,"1,080,000.00","1,079,869.64","1,079,809.60",,,
FORD CR AUTO OWNER TR 2017-REV,2.36,3/15/2029,"660,000.00","659,927.14","669,838.55",,,
FORD CR AUTO OWNER TR 2018-A C,3.03,11/15/2022,"61,184.06","61,174.17","61,364.37",,,
FORD CR AUTO OWNER TR 2019-C N,1.87,3/15/2024,"1,047,581.13","1,052,176.70","1,059,485.00",,,
FORD CR AUTO OWNER TR 2020-C A,0.41,7/15/2025,"900,000.00","899,924.49","900,986.94",,,
FORD CR AUTO OWNER TR SER 2021,0.30,8/15/2025,"580,000.00","579,951.11","579,539.94",,,
GM FINANCIAL AUTOMOBILE LEASIN,0.71,10/20/2022,"410,301.26","410,274.76","411,031.56",,,
GM FINANCIAL SECURITIZED TERM,0.51,4/16/2026,"650,000.00","649,942.87","651,000.35",,,
GM FINL AUTOMOBILE LEASING TR,0.26,2/20/2024,"495,000.00","494,949.31","495,168.75",,,
GM FINL AUTOMOBILE LEASING TR,0.45,8/21/2023,"645,000.00","644,938.21","646,393.33",,,
GM FINL CONSUMER AUTOMOBILE RE,1.84,9/16/2024,"410,000.00","409,903.45","414,546.74",,,
GM FINL CONSUMER AUTOMOBILE RE,0.45,4/16/2025,"1,000,000.00","999,771.20","1,002,513.19",,,
GM FINL CONSUMER AUTOMOBILE RE,0.35,10/16/2025,"865,000.00","864,862.29","865,456.20",,,
GM FINL CONSUMER AUTOMOBILE RE,2.81,12/16/2022,"103,158.58","103,145.24","103,682.86",,,
HARLEY-DAVIDSON MOTORCYCLE TR,1.87,10/15/2024,"725,000.00","724,841.88","732,337.44",,,
HONDA AUTO RECEIVABLES 2018-1,3.01,5/18/2022,"42,960.91","42,959.97","43,046.96",,,
HONDA AUTO RECEIVABLES 2019-4,1.83,1/18/2024,"475,000.00","474,915.36","480,584.77",,,
HONDA AUTO RECEIVABLES 2020-2,0.82,7/15/2024,"860,000.00","859,932.32","865,553.62",,,
HONDA AUTO RECEIVABLES 2020-3,0.37,10/18/2024,"625,000.00","624,908.19","625,852.44",,,
HPEFS EQUIP TR 2021-1 .32% 03-,0.32,3/20/2031,"720,000.00","719,988.55","719,320.97",,,
HPEFS EQUIP TR 2021-2 ASSET BA,0.36,9/20/2028,"415,000.00","414,952.44","414,716.56",,,
HYUNDAI AUTO LEASE SECURITIZAT,0.51,9/15/2023,"1,085,000.00","1,084,929.58","1,088,146.83",,,
HYUNDAI AUTO LEASE SECURITIZAT,0.33,6/17/2024,"895,000.00","894,865.75","894,804.89",,,
HYUNDAI AUTO RECEIVABLES TR 20,2.79,7/15/2022,872.80,872.67,873.79,,,
HYUNDAI AUTO RECEIVABLES TR SE,0.48,12/16/2024,"870,000.00","869,837.14","872,793.14",,,
JOHN DEERE OWNER TR 1.1% 08-15,1.10,8/15/2024,"495,000.00","494,969.76","498,829.96",,,
JOHN DEERE OWNER TR 2018-B 3.0,3.08,11/15/2022,"49,830.32","49,826.54","50,086.63",,,
JOHN DEERE OWNER TR 2021 ASSET,0.36,9/15/2025,"785,000.00","784,849.12","783,987.27",,,
JOHN DEERE OWNER TR SER 20-B C,0.41,3/15/2023,"144,393.12","144,386.09","144,478.02",,,
MERCEDES BENZ AUTO LEASE TR 20,1.84,12/15/2022,"465,000.00","464,938.71","468,408.45",,,
MERCEDES-BENZ AUTO LEASE TR 20,0.25,1/16/2024,"950,000.00","949,903.96","949,639.67",,,
MERCEDES-BENZ AUTO LEASE TR 20,0.40,11/15/2024,"680,000.00","679,948.66","679,678.02",,,
MERCEDES-BENZ AUTO LEASE TRUST,2.00,10/17/2022,"518,865.14","518,782.63","522,348.07",,,
MERCEDES-BENZ AUTO RECEIVABLES,3.03,1/17/2023,"75,844.08","75,841.17","76,268.54",,,
MERCEDES-BENZ AUTO RECEIVABLES,0.55,2/18/2025,"735,000.00","734,942.60","737,976.31",,,
NISSAN AUTO LEASE SER 20-A CL,1.84,1/17/2023,"935,000.00","934,933.62","942,336.39",,,
NISSAN AUTO LEASE TR 2020-B SR,0.43,10/16/2023,"690,000.00","689,929.00","691,614.74",,,
NISSAN AUTO RECEIVABLES 2018-B,3.06,3/15/2023,"117,392.25","117,388.44","118,681.48",,,
NISSAN AUTO RECEIVABLES 2019-A,2.90,10/16/2023,"363,024.45","362,969.46","367,899.51",,,
NISSAN AUTO RECEIVABLES OWNER,0.55,7/15/2024,"555,000.00","554,984.79","556,799.86",,,
PSNH FDG LLC 3 RATE REDUCTION,3.09,2/1/2026,"163,607.13","163,603.53","169,148.91",,,
PVTPL ARI FLEET LEASE TR 2018-,3.22,8/16/2027,"104,979.25","104,976.49","105,438.09",,,
PVTPL CHESAPEAKE FDG II LLC SE,3.23,8/15/2030,"226,036.00","226,009.88","227,831.11",,,
PVTPL CHESAPEAKE FDG II LLC SE,1.95,9/15/2031,"376,030.17","375,964.73","380,257.31",,,
PVTPL CHESAPEAKE FDG II LLC SE,0.47,4/15/2033,"671,897.68","671,815.83","671,971.59",,,
PVTPL CHESAPEAKE FDG II LLC SE,3.04,4/15/2030,"82,132.78","82,130.19","82,240.27",,,
PVTPL DELL EQUIP FIN TR 2020-2,0.57,10/23/2023,"590,000.00","589,956.69","591,567.34",,,
PVTPL DLLAA 2021-1 LLC NT CL A,0.00,4/17/2026,"825,000.00","824,880.87","826,688.78",,,
PVTPL ENTERPRISE FLEET FING LL,2.06,5/20/2025,"244,006.76","243,968.04","247,266.20",,,
PVTPL ENTERPRISE FLEET FING SE,0.61,7/20/2026,"591,165.05","591,059.41","592,884.93",,,
PVTPL FORD CR AUTO OWNER TR SE,2.62,8/15/2028,"1,240,000.00","1,239,735.38","1,258,600.37",,,
PVTPL HYUNDAI AUTO LEASE SECUR,1.95,7/17/2023,"595,000.00","594,955.02","599,763.63",,,
PVTPL KUBOTA CR OWNER TR 2018-,3.10,8/15/2022,"60,518.55","60,510.76","60,770.79",,,
PVTPL KUBOTA CR OWNER TR 2021-,0.62,8/15/2025,"465,000.00","464,904.86","464,446.28",,,
PVTPL MMAF EQUIP FIN LLC 2019-,2.01,12/12/2024,"690,000.00","689,821.77","707,529.11",,,
PVTPL MMAF EQUIP FIN LLC 2021-,0.56,6/13/2028,"515,000.00","514,894.01","514,201.39",,,
PVTPL MMAF EQUIP FIN LLC SER 2,3.20,9/12/2022,"227,926.24","227,904.81","229,119.53",,,
PVTPL TOYOTA AUTO LN EXTD NT T,1.07,2/27/2034,"235,000.00","234,981.69","235,128.90",,,
SANTANDER RETAIL 2021-B TR ASS,0.51,8/20/2024,"765,000.00","764,903.38","765,546.98",,,
