9-200100-Income Research Intermediate,,,,,,,,,
Asset-Backed Securities,,,,,,,,,
CAP 1 PRIME AUTO RECEIVABLES T,2.51,11/15/2023,"885,310.42","885,131.06","895,930.43",,,,
CNH EQUIP TR SER 2018-B CLASS,3.19,11/15/2023,"606,374.73","606,292.74","614,473.98",,,,
FIRSTKEY HOMES 2020-SFR1 TR 1.,1.34,9/17/2025,"831,037.45","831,020.33","831,114.49",,,,
FORD CR FLOORPLAN MASTER OWNER,1.06,9/15/2027,"873,000.00","872,718.89","873,623.50",,,,
GMF FLOORPLAN OWNER REVOLVING,2.90,4/15/2026,"1,082,000.00","1,166,362.19","1,147,842.95",,,,
OAK STR INVT GRADE NET LEASE F,1.93,1/20/1951,"2,103,838.70","2,119,929.60","2,112,119.83",,,,
PROGRESS RESIDENTIAL 2021-SFR2,1.55,4/19/2038,"834,000.00","833,987.91","836,352.55",,,,
PVTPL FIRSTKEY HOMES 2020-SFR2,1.27,10/19/2037,"952,892.23","952,884.71","951,356.93",,,,
PVTPL FORD CR AUTO OWNER TR 20,3.19,7/15/2031,"1,239,000.00","1,363,480.78","1,336,648.44",,,,
PVTPL FORD CR AUTO OWNER TR 20,2.04,8/15/2031,"1,500,000.00","1,499,483.40","1,556,862.60",,,,
PVTPL FORD CR AUTO OWNER TR SR,1.06,4/15/2033,"1,000,000.00","1,001,523.44","998,886.10",,,,
PVTPL GMF FLOORPLAN OWNER REVO,3.50,9/15/2023,"1,030,000.00","1,054,422.27","1,036,996.69",,,,
PVTPL IINVITATION HOMES SER 20,0.78,3/17/2037,"1,323,116.48","1,323,116.48","1,324,341.69",,,,
PVTPL KUBOTA CR OWNER TR 2020-,1.96,3/15/2024,"1,548,000.00","1,547,813.47","1,578,030.43",,,,
PVTPL NEXTGEAR FLOORPLAN MASTE,1.55,2/15/2025,"3,124,000.00","3,123,911.90","3,181,165.45",,,,
PVTPL PALMER SQUARE CLO SER 13,1.16,10/17/2031,"921,000.00","921,000.00","921,098.09",,,,
PVTPL PROGRESS RESIDENTIAL TRU,3.88,10/17/2035,"1,115,087.83","1,138,086.53","1,125,832.70",,,,
PVTPL STORE MASTER FDG I LLC/S,2.82,11/20/2049,"582,381.12","582,192.78","610,141.48",,,,
PVTPL STORE MASTER FUNDING LLC,3.96,10/20/2048,"669,263.46","669,090.03","696,935.03",,,,
PVTPL TOYOTA AUTO LN EXTD NT T,1.07,2/27/2034,"1,360,000.00","1,359,894.06","1,360,745.97",,,,
SMALL BUSINESS ADMIN GTD DEV P,4.20,9/1/2029,"188,085.38","202,955.87","204,283.41",,,,
SMALL BUSINESS ADMIN GTD DEV P,2.76,10/1/2031,"311,112.81","317,335.08","325,568.51",,,,
SMALL BUSINESS ADMIN GTD DEV P,2.92,1/1/2038,"2,237,561.79","2,233,382.93","2,411,691.98",,,,
SMALL BUSINESS ADMIN GTD DEV P,3.21,3/1/2034,"631,360.52","631,286.53","675,246.07",,,,
SMALL BUSINESS ADMIN GTD DEV P,3.52,8/1/2030,"198,888.90","210,729.01","213,388.92",,,,
