Account,Cupn,Maturity Date,Quantity,Cost Value,Market Value,Industry,FF,Ticker,
9-200100-Income Research,,,,,,,,,
Asset-Backed Securities,,,,,,,,,
BMW VEH OWNER TR SR 20-A CL A3,0.95,10/25/2024,"499,000.00","498,962.33","500,509.32",,,,
CAPITAL ONE PRIME AUTO RECEIVA,1.60,11/15/2024,"800,000.00","799,829.92","810,790.08",,,,
CNH EQUIP TR 2018-A NT CL A-3,3.12,7/17/2023,"99,671.73","100,617.84","100,632.89",,,,
CNH EQUIP TR SR 19-A CL A3 3.0,3.01,4/15/2024,"451,851.81","451,752.54","459,238.77",,,,
DAIMLER TRUCKS RETAIL TR 2020-,1.14,4/15/2022,"64,178.53","64,177.23","64,219.84",,,,
FIRSTKEY HOMES 2020-SFR1 TR 1.,1.34,9/17/2025,"656,239.90","658,957.15","656,300.74",,,,
FORD CR AUTO OWNER TR  1.35% S,1.35,7/15/2025,"821,000.00","820,760.19","837,312.04",,,,
FORD CR FLOORPLAN MASTER OWNER,2.84,3/15/2024,"606,000.00","605,912.98","617,130.16",,,,
FORD CR FLOORPLAN MASTER OWNER,0.70,9/15/2025,"1,014,000.00","1,013,940.78","1,018,966.98",,,,
FORD CR FLOORPLAN MASTER OWNER,3.52,10/15/2023,"2,121,000.00","2,120,527.44","2,141,603.39",,,,
GM FINL CONSUMER AUTOMOBILE RE,2.97,11/16/2023,"982,839.14","982,730.34","993,386.38",,,,
GM FINL CONSUMER AUTOMOBILE RE,0.45,4/16/2025,"501,000.00","500,885.37","502,259.11",,,,
GMF FLOORPLAN OWNER REVOLVING,2.90,4/15/2026,"992,000.00","1,060,293.75","1,052,366.18",,,,
HONDA AUTO RECEIVABLES 2019-1,2.83,3/20/2023,"933,560.32","933,535.30","944,765.10",,,,
HONDA AUTO RECEIVABLES 2019-2,2.52,6/21/2023,"336,447.05","346,606.18","340,743.81",,,,
HONDA AUTO RECEIVABLES 2020-2,0.82,7/15/2024,"510,000.00","509,959.86","513,293.43",,,,
HYUNDAI AUTO LEASE SECURITIZAT,0.33,6/17/2024,"656,000.00","655,901.60","655,856.99",,,,
HYUNDAI AUTO RECEIVABLES TR SE,0.48,12/16/2024,"480,000.00","479,910.14","481,541.04",,,,
HYUNDAI AUTO RECEIVABLES TRUST,0.38,9/15/2025,"655,000.00","654,931.09","655,777.49",,,,
JOHN DEERE OWNER TR 1.1% 08-15,1.10,8/15/2024,"850,000.00","849,948.07","856,576.70",,,,
MERCEDES-BENZ AUTO LEASE TR 20,0.40,11/15/2024,"655,000.00","654,950.55","654,689.86",,,,
MMAF EQUIP FIN LLC 2016-A MMAF,1.76,1/17/2023,"199,431.40","196,206.22","199,909.86",,,,
NISSAN AUTO RECEIVABLES OWNER,0.55,7/15/2024,"498,000.00","497,986.35","499,615.01",,,,
PROGRESS RESIDENTIAL 2021-SFR6,0.00,7/17/2038,"873,000.00","872,984.96","873,286.58",,,,
PVTPL ARI FLEET LEASE TR 2020-,1.80,8/15/2028,"400,000.00","399,926.08","407,490.24",,,,
PVTPL ARI FLEET LEASE TR SER 1,2.41,11/15/2027,"243,870.70","243,861.56","245,974.84",,,,
PVTPL DLL LLC NT SER 2018-1  C,3.27,4/17/2026,"456,536.07","455,840.57","461,075.82",,,,
PVTPL DLLAA 2021-1 LLC NT CL A,0.00,4/17/2026,"1,010,000.00","1,009,854.16","1,012,067.47",,,,
PVTPL FORD CR AUTO OWNER TR 20,,,,,,,,,
PVTPL HYUNDAI AUTO LEASE SECUR,,,,,,,,,
PVTPL KUBOTA CR OWNER TR 2020-,,,,,,,,,
PVTPL KUBOTA CR OWNER TR 2021-,,,,,,,,,
PVTPL MMAF EQUIP FIN LLC 2019-,,,,,,,,,
PVTPL NEXTGEAR FLOORPLAN MASTE,,,,,,,,,
PVTPL NEXTGEAR FLOORPLAN MASTE,,,,,,,,,
PVTPL PROGRESS RESIDENTIAL SER,,,,,,,,,
PVTPL PROGRESS RESIDENTIAL SER,,,,,,,,,
PVTPL PROGRESS RESIDENTIAL TRU,,,,,,,,,
PVTPL WHEELS SPV 2 LLC 2019-1A,,,,,,,,,
SANTANDER RETAIL AUTO LEASE TR,,,,,,,,,
SMALL BUSINESS ADMIN GTD DEV P,,,,,,,,,
SMALL BUSINESS ADMIN GTD DEV P,,,,,,,,,
TOYOTA AUTO RECEIVABLES 2021-A,,,,,,,,,
TOYOTA AUTO RECEIVABLES 2021-B,,,,,,,,,
VERIZON OWNER TR 2018-A SR 18-,,,,,,,,,
VERIZON OWNER TR 2020-A NT CL,,,,,,,,,
VERIZON OWNER TR 2020-B NT CL,,,,,,,,,
VERIZON OWNER TRUST FIXED 2.93,,,,,,,,,
VOLKSWAGEN AUTO LN ENHANCED TR,,,,,,,,,
WORLD OMNI AUTO RECEIVABLES TR,,,,,,,,,
WORLD OMNI AUTO RECEIVABLES TR,,,,,,,,,
WORLD OMNI AUTO RECEIVABLES TR,,,,,,,,,
WORLD OMNI AUTO RECEIVABLES TR,,,,,,,,,
WORLD OMNI AUTOMOBILE LEASE SE,,,,,,,,,
WORLD OMNI AUTOMOBILE LEASE SE,,,,,,,,,
MISSING MORTGAGE BACKED TABLE 36,,,,,,,,,
Corporate Bonds,,,,,,,,,
7-ELEVEN INC .625% DUE,0.63,2/10/2023,"655,000.00","654,456.35","655,389.99",Convenience Store,0,SVNDY,
ABBOTT LABS 3.4% DUE,3.40,11/30/2023,"750,000.00","818,662.50","800,401.63",Healthcare Supplies,0,ABT,
ABBVIE INC 2.3% DUE 11-21-2022,2.30,11/21/2022,"2,736,000.00","2,833,382.37","2,808,294.91",Pharmaceuticals,0,ABBV,
AIR LEASE CORP 2.75% 01-15-202,2.75,1/15/2023,"590,000.00","590,227.53","608,716.71",Aircraft Leasing,0,AL,
AMERICAN HONDA FIN CORP MED TE,2.20,6/27/2022,"637,000.00","636,413.96","649,202.32",Automobiles,0,HMC.22B,
AMERICAN HONDA FIN CORP MED TE,0.88,7/7/2023,"2,597,000.00","2,596,168.96","2,620,395.70",Automobiles,0,HMC.22B,
AMERICAN INTL GROUP INC 4.875%,4.88,6/1/2022,"1,300,000.00","1,414,049.00","1,353,200.41",Insurance,0,AIG,
APPLE INC .75% DUE 05-11-2023,0.75,5/11/2023,"1,456,000.00","1,452,039.68","1,468,718.01",Technology,0,APPL,
AQUARION CO 4.0% DUE,4.00,8/15/2024,"576,000.00","632,551.68","624,186.82",Water Treatment,0,,
ASTRAZENECA PLC .3% 05-26-2023,0.30,5/26/2023,"606,000.00","605,460.66","604,258.03",Pharmaceuticals,0,LSE: AZNCF,
AT&T BROADBAND CORP 9.455% DUE,9.46,11/15/2022,"1,950,000.00","2,598,902.76","2,193,821.49",Television,0,NYSE: T,
AT&T INC .9% DUE 03-25-2024 BE,0.90,3/25/2024,"654,000.00","653,378.70","655,425.72",Television,0,NYSE: T,
BANK AMER CORP .976% 04-22-202,0.98,4/22/2025,"655,000.00","655,000.00","657,098.97",Bank,0,NYSE: BAC,they prob invest in FF
BANK AMER CORP 1.486% DUE,1.49,5/19/2024,"663,000.00","663,000.00","674,317.00",Bank,0,NYSE: BAC,
BANK NOVA SCOTIA B C .55% DUE,0.55,9/15/2023,"625,000.00","624,556.25","626,315.10",Bank,0,TSX: BNS,
BANK OF AMERICA CORP MTN 0.81%,0.81,10/24/2024,"980,000.00","980,000.00","984,078.93",Bank,0,NYSE: BAC,
BARCLAYS BK PLC 1.7% DUE,1.70,5/12/2022,"820,000.00","819,327.60","829,405.90",Bank,0,NYSE: BCS,
BOEING CO 4.508% DUE,4.51,5/1/2023,"819,000.00","819,000.00","873,131.53",Airline,0,NYSE: BA,
BOSTON PPTYS LTD PARTNERSHIP 3,3.20,1/15/2025,"1,010,000.00","1,088,365.90","1,082,024.01",Real Estate Investment,0,NYSE: BXP,
BRISTOL MYERS SQUIBB CO .537%,0.54,11/13/2023,"924,000.00","924,000.00","925,106.48",Pharmaceuticals,0,NYSE: PMY,
CANADIAN IMPERIAL BK 2.606% DU,2.61,7/22/2023,"1,180,000.00","1,181,301.80","1,207,116.73",Bank,0,NYSE: CM,
CANADIAN NAT RES LTD 3.8% DUE,3.80,4/15/2024,"440,000.00","476,132.80","473,184.94",Hydrocarbon Exploration,1,TSX: CNQ,
CAPITAL ONE FINL CORP 3.5% DUE,3.50,6/15/2023,"409,000.00","436,738.38","432,447.02",Bank,0,NYSE: COF,probably invests in FF
CATERPILLAR FINL SVCS CORP MED,1.90,9/6/2022,"600,000.00","599,166.00","611,042.29",Machinery,0,NYSE: CAT,
CATERPILLAR FINL SVCS CORP MED,0.65,7/7/2023,"1,025,000.00","1,024,426.00","1,030,810.28",Machinery,0,NYSE: CAT,
CATERPILLAR FINL SVCS CORP MED,0.25,3/1/2023,"656,000.00","655,435.84","654,504.68",Machinery,0,NYSE: CAT,
CENTERPOINT ENERGY INC 3.85%,3.85,2/1/2024,"307,000.00","336,788.21","330,093.05",Electric,1,NYSE: CNP,
CHEVRON CORP 2.355% DUE,2.36,12/5/2022,"500,000.00","490,515.00","511,988.56",Energy,1,NYSE: CVX,
CHEVRON CORP NEW 1.141% DUE 05,1.14,5/11/2023,"821,000.00","821,000.00","833,196.06",Energy,1,NYSE: CVX,
CITIGROUP INC 1.678% DUE,1.68,5/15/2024,"1,968,000.00","1,996,363.77","2,009,586.50",Bank,0,NYSE: C,
CITIGROUP INC 2.75% DUE,2.75,4/25/2022,"2,323,000.00","2,324,404.14","2,365,851.08",Bank,0,NYSE: C,
CREDIT SUISSE AG NEW YORK 0.49,0.50,2/2/2024,"1,098,000.00","1,098,000.00","1,093,473.92",Bank,0,NYSE: CS,
DOMINION ENERGY INC JR SUB NT,2.72,8/15/2021,"909,000.00","909,218.16","911,599.01",Energy,1,NYSE: D,
DOMINION RES INC VA NEW 2.75%,2.75,9/15/2022,"1,115,000.00","1,132,449.75","1,139,079.81",Energy,1,NYSE: D,
ENERGY TRANSFER PARTNERS 5.2%,5.20,2/1/2022,"1,114,000.00","1,167,728.10","1,131,169.09",Gas and Propane,1,NYSE: ET,Dakota Access Pipeline (gross)
ENTERPRISE PRODS OPER LLC 4.05,4.05,2/15/2022,"1,625,000.00","1,726,245.00","1,662,894.04",Gas and Oil,1,NYSE: EPD,Caused explosion and death! https://en.wikipedia.org/wiki/Enterprise_Products 
ESSEX PORTFOLIO L P 3.875% DUE,3.88,5/1/2024,"596,000.00","648,024.84","641,352.67",Real Estate Investment,0,NYSE: ESS,
EVERSOURCE ENERGY 3.8% DUE,3.80,12/1/2023,"1,992,000.00","2,160,742.32","2,137,837.91",Gas,1,NYSE: ES,
FIFTH THIRD BANCORP 1.625% DUE,1.63,5/5/2023,"1,038,000.00","1,037,335.68","1,058,679.40",Bank,0,Nasdaq: FITB,
FIFTH THIRD BANCORP 2.6% DUE,2.60,6/15/2022,"303,000.00","303,963.54","309,277.13",Bank,0,Nasdaq: FITB,
FIRST REP BK SAN FRANCISCO CAL,1.91,2/12/2024,"780,000.00","780,000.00","796,934.64",Bank,0,NYSEL FRC,
FIRST REPUBLIC  BANK 2.5%,2.50,6/6/2022,"1,090,000.00","1,090,791.80","1,109,507.64",Bank,0,NYSEL FRC,
FORD MTR CR CO LLC 3.813%,3.81,10/12/2021,"841,000.00","841,000.00","847,307.50",Financial Services,0,F.25L,
GENERAL MTRS FINL CO INC 3.55%,3.55,7/8/2022,"1,310,000.00","1,309,174.70","1,352,095.95",Financial Services,0,GM,
GENPACT LUXEMBOURG S A R L 3.3,3.38,12/1/2024,"447,000.00","482,840.46","477,532.72",Professional Services,0,NYSE: G,
GLAXOSMITHKLINE CAP PLC .534%,0.53,10/1/2023,"614,000.00","614,000.00","616,214.46",Pharmaceuticals,0,NYSE: GSK,
GOLDMAN SACHS GROUP INC .627%,0.63,11/17/2023,"967,000.00","967,000.00","967,287.75",Bank,0,NYSE: GS,
JEFFERIES FINANCIAL GROUP INC,5.50,10/18/2023,"1,233,000.00","1,296,363.87","1,326,199.50",Financial Services,0,NYSE: JEF,
KANSAS CITY SOUTHN 3.0% DUE,3.00,5/15/2023,"780,000.00","795,771.60","809,059.25",Railroad,0,NYSE: KSU,
KINDER MORGAN ENERGY PARTNERS,3.45,2/15/2023,"780,000.00","821,519.40","811,543.84","Gas, petrol, CO2 pipelines",0,NYSE: KMI,
LLOYDS BKG GROUP PLC 2.858% DU,2.86,3/17/2023,"1,323,000.00","1,328,877.70","1,345,630.98",Bank,0,NYSE: LYG,
LLOYDS BKG GROUP PLC 3.9%,3.90,3/12/2024,"527,000.00","576,032.08","571,079.31",Bank,0,NYSE: LYG,
MARRIOTT INTL INC NEW 2.125% D,2.13,10/3/2022,"480,000.00","479,001.60","486,825.91",Hotel,0,Nasdaq: MAR,
MITSUBISHI UFJ FINL GROUP INC,2.62,7/18/2022,"843,000.00","843,000.00","863,763.32",Bank,0,NYSE: MUFG,
MORGAN STANLEY 0.529% DUE 01-2,0.53,1/25/2024,"1,091,000.00","1,091,000.00","1,090,446.95",Financial Services,0,NYSEL: MS,
MORGAN STANLEY 1.593% DUE 05-0,1.59,5/4/2027,"655,000.00","655,000.00","659,634.36",Financial Services,0,NYSEL: MS,
MORGAN STANLEY FORMERLY MORGAN,2.75,5/19/2022,"711,000.00","708,945.21","726,855.88",Financial Services,0,NYSEL: MS,
MORGAN STANLEY SR NT FIXED .56,0.56,11/10/2023,"671,000.00","671,000.00","671,846.98",Financial Services,0,NYSEL: MS,
