Account,Cupn,Maturity Date,Quantity,Cost Value,Market Value,Industry,FF,Ticker,
9-200100-JP Morgan Managed Reserves,,,,,,,,,
Asset Backed Securities,,,,,,,,,
ALLY AUTO RECEIVABLES TRUST SE,1.84,6/17/2024,"2,160,489.41","2,197,270.64","2,180,079.43",,,,
AMERICAN EXPRESS CR ACCOUNT MA,2.67,11/15/2024,"1,600,000.00","1,652,687.50","1,631,778.40",,,,
AMERICREDIT AUTOMOBILE RECEIVA,0.60,12/18/2023,"325,472.14","325,459.76","325,855.32",,,,
AMERICREDIT AUTOMOBILE RECEIVA,0.42,3/18/2024,"1,227,776.79","1,227,739.83","1,228,852.08",,,,
AMERN EXPRESS CR SER 19-1 CL A,2.87,10/15/2024,"2,788,000.00","2,884,921.25","2,840,793.85",,,,
BMW VEH LEASE TR 2021-1 ASSET,0.20,3/27/2023,"813,000.00","812,992.93","813,210.65",,,,
BMW VEH OWNER TR SR 20-A CL A2,0.39,2/27/2023,"271,695.16","271,675.87","271,834.78",,,,
BMW VEH OWNER TR SR 20-A CL A3,0.95,10/25/2024,"2,477,000.00","2,485,119.65","2,484,492.18",,,,
CAPITAL 1 MULTI SER 19-A2 CL A,1.72,8/15/2024,"2,567,000.00","2,628,155.08","2,611,191.16",,,,
CARMAX AUTO OWNER TR 2018-3 AS,3.13,6/15/2023,"1,129,342.00","1,154,399.28","1,139,887.34",,,,
CARMAX AUTO OWNER TR 2018-3 AS,3.27,3/15/2024,"2,294,000.00","2,360,131.72","2,359,189.52",,,,
CARMAX AUTO OWNER TR 2020-4 SE,0.31,1/16/2024,"605,522.07","605,453.83","605,945.33",,,,
CARMAX AUTO OWNER TR 2021-2 AS,0.27,6/17/2024,"522,000.00","521,965.24","522,171.95",,,,
CARMAX AUTO OWNER TR SER 2019-,2.18,8/15/2024,"1,361,015.97","1,394,988.20","1,380,818.07",,,,
CARMAX AUTO OWNER TRUST SER 18,2.48,11/15/2022,"90,498.43","91,495.33","90,677.98",,,,
CARVANA AUTO RECEIVABLES TR 20,0.30,7/10/2024,"2,209,000.00","2,208,826.15","2,209,069.36",,,,
DISCOVER CARD EXECUTION NT TR,3.04,7/15/2024,"1,350,000.00","1,397,197.26","1,371,037.32",,,,
FORD CR AUTO OWNER TR 2018-A C,3.03,11/15/2022,"225,376.56","227,929.65","226,040.74",,,,
FORD CR AUTO OWNER TR 2020-C A,0.25,10/15/2023,"632,741.35","632,729.84","632,987.55",,,,
FORD CR AUTO OWNER TR 2021-A .,0.17,10/15/2023,"819,000.00","818,904.02","818,906.80",,,,
FORD CREDIT AUTO OWNER TRUST 2,2.78,9/15/2023,"444,416.74","456,152.12","449,524.33",,,,
GM FINL AUTOMOBILE LEASING TR,0.35,11/21/2022,"343,178.53","343,156.33","343,386.12",,,,
GM FINL AUTOMOBILE LEASING TR,0.22,7/20/2023,"800,000.00","799,984.40","800,355.20",,,,
GM FINL CONSUMER AUTOMOBILE RE,2.18,4/16/2024,"442,876.26","451,664.58","447,986.92",,,,
GM FINL CONSUMER AUTOMOBILE RE,3.21,10/16/2023,"977,234.62","1,001,387.04","988,909.74",,,,
GM FINL CONSUMER AUTOMOBILE RE,2.81,12/16/2022,"320,978.39","325,868.30","322,609.70",,,,
HARLEY-DAVIDSON MOTORCYCLE TR,1.83,1/17/2023,"37,548.84","37,546.95","37,571.08",,,,
HONDA AUTO RECEIVABLES 2019-1,2.83,3/20/2023,"904,521.00","928,302.88","915,377.24",,,,
HONDA AUTO RECEIVABLES 2019-2,2.52,6/21/2023,"1,202,589.70","1,238,526.47","1,217,947.97",,,,
HONDA AUTO RECEIVABLES 2021-1,0.16,7/21/2023,"1,124,000.00","1,123,780.47","1,123,862.20",,,,
HONDA AUTO RECEIVABLES OWNER .,0.17,11/15/2023,"1,055,000.00","1,054,990.19","1,054,986.71",,,,
HONDA AUTO RECEIVABLES OWNER T,0.74,11/15/2022,"996,694.03","999,419.37","997,930.13",,,,
HYUNDAI AUTO RECEIVABLES TR 20,2.79,7/15/2022,"1,031.11","1,042.10","1,032.28",,,,
HYUNDAI AUTO RECEIVABLES TR 20,0.26,9/15/2023,"1,009,161.26","1,009,141.28","1,009,661.70",,,,
MERCEDES BENZ FINL SVCS SR 20-,0.31,2/15/2023,"277,972.69","277,947.37","278,093.30",,,,
MERCEDES-BENZ AUTO LEASE TR 20,0.22,1/16/2024,"1,818,000.00","1,817,847.65","1,817,736.57",,,,
MERCEDES-BENZ AUTO RECEIVABLES,3.03,1/17/2023,"168,167.80","171,013.43","169,108.95",,,,
MERCEDES-BENZ AUTO RECEIVABLES,0.55,2/18/2025,"939,000.00","943,034.77","942,802.39",,,,
SANTANDER CONSUMER AUTO RECEIV,0.38,2/15/2023,"272,956.78","272,955.17","273,042.93",,,,
SANTANDER DR AUTO RECEIVABLES,0.34,2/18/2025,"505,000.00","504,958.74","505,600.45",,,,
SANTANDER DRIVE AUTO RECEIVABL,0.46,9/15/2023,"319,939.85","319,928.04","320,037.82",,,,
SANTANDER DRIVE AUTO RECEIVABL,0.42,9/15/2023,"817,217.01","817,190.12","817,504.83",,,,
TOYOTA AUTO RECEIVABLES 2018-D,3.48,3/15/2023,"297,651.69","302,988.48","300,701.94",,,,
TOYOTA AUTO RECEIVABLES 2019-A,2.91,7/17/2023,"841,568.41","861,415.01","852,653.38",,,,
TOYOTA AUTO RECEIVABLES 2020-C,0.36,2/15/2023,"1,407,208.97","1,407,874.30","1,408,026.84",,,,
TOYOTA AUTO RECEIVABLES SER 19,2.57,8/15/2023,"1,200,793.74","1,233,909.38","1,214,850.47",,,,
WORLD OMNI AUTO RECEIVABLES TR,0.20,7/15/2024,"2,700,000.00","2,699,913.06","2,700,363.42",,,,
Commercial Mortgage Backed Securities,,,,,,,,,
CMO GS MTG SECS TR SER 2017-GS,3.22,3/10/1950,"34,664.40","35,379.35","34,753.98",,,,
PVTPL CMO BX TRUST SR 2018-IND,0.82,11/15/2035,"172,946.84","172,946.84","173,003.45",,,,
PVTPL CMO CREDIT SUISSE MORTGA,1.05,5/15/2036,"2,300,000.00","2,300,000.00","2,306,147.67",,,,
Commercial Paper,,,,,,,,,
AMERICAN ELEC PWR INC DISC COM,0.00,11/16/2021,"780,000.00","778,952.85","779,310.33",,,,
AT&T INC DISC COML PAPER 4/2 Y,0.00,12/14/2021,"1,337,000.00","1,331,934.26","1,335,846.40",,,,
BNP PARIBAS DISC COML PAPER 4/,0.00,4/20/2022,"1,000,000.00","997,636.94","998,554.50",,,,
ENBRIDGE U S INC DISC COML PAP,0.00,9/13/2021,"942,000.00","940,322.62","941,627.13",,,,
ENI FIN USA INC DISC COML PAPE,0.00,10/18/2021,"500,000.00","497,124.17","499,674.59",,,,
ENI FIN USA INC DISC COML PAPE,0.00,3/4/2022,"500,000.00","497,750.00","498,929.67",,,,
FIRST ABU DHABI BK P J S C DIS,0.28,6/29/2022,"3,699,000.00","3,689,649.75","3,689,649.74",,,,
GLENCORE FDG LLC DISC COML PAP,0.00,8/5/2021,"1,400,000.00","1,396,966.66","1,399,599.60",,,,
SHINHAN BANK (NY BRANCH) 10-15,0.00,10/15/2021,"1,841,000.00","1,833,267.80","1,839,555.42",,,,
WASTE MGMT INC DISC COML PAPER,0.00,9/20/2021,"993,000.00","988,494.26","992,581.56",,,,
Corporate Bonds,,,,,,,,,
1.875% DUE 07-12-2021 REG,1.88,7/12/2021,"250,000.00","250,227.50","250,129.99",,,,
7-ELEVEN INC .625% DUE,0.63,2/10/2023,"2,097,000.00","2,098,837.47","2,098,248.57",retail,0,TYO:3382,
7-ELEVEN INC 0.0% DUE,0.61,8/10/2022,"627,000.00","627,000.00","627,281.52",retail,0,TYO:3382,
ABB FIN USA INC 2.875% DUE 05-,2.88,5/8/2022,"907,000.00","929,765.70","927,016.33",ElectricalEquipment,0,NYSE:ABB,
ABBVIE INC 2.9% DUE 11-06-2022,2.90,11/6/2022,"89,000.00","92,327.71","91,958.36",BioPharmaceutical,0,NYSE:ABBV,
ACE INA HLDGS INC 2.875% DUE,2.88,11/3/2022,"698,000.00","718,856.24","718,681.77",Insurance/Reinsurance ,0,NYSE:CB,
AEP TEX INC 2.4% DUE 10-01-202,2.40,10/1/2022,"476,000.00","488,852.00","486,741.45",ElectricUtilities,1,NASDAQ:AEP,
AIG GLOBAL FDG 0.0% DUE 12-15-,0.42,12/15/2023,"867,000.00","867,000.00","867,878.72",FinancialServices,0,NYSE:AIG,
