Account,Cupn,Maturity Date,Quantity,Cost Value,Market Value,Idustry,FF,Ticker
9-200100-Neuberger Berman Enhanced Cash,,,,,,,,
Asset Backed Securities,,,,,,,,
AMERICAN EXPRESS CR ACCOUNT MA,0.45,2/18/2025,"4,000,000.00","4,016,171.88","4,014,462.40",,,
BMW VEH OWNER TR SR 20-A CL A2,0.39,2/27/2023,"1,138,387.59","1,138,306.77","1,138,972.61",,,
CITIBANK CR CARD ISSUANCE TR 2,0.45,8/8/2024,"2,825,000.00","2,837,249.02","2,835,583.30",,,
FORD CR AUTO LEASE TR SR 20-B,0.50,12/15/2022,"813,715.31","813,711.57","814,279.54",,,
FORD CR AUTO OWNER TR 2020-B A,0.50,2/15/2023,"550,028.67","550,004.47","550,526.89",,,
FORD CR AUTO OWNER TR 2020-C A,0.25,10/15/2023,"1,258,769.27","1,258,746.36","1,259,259.06",,,
GM FINL CNSMR AUTOMOBILE 1.83%,1.83,1/17/2023,"4,665.79","4,665.59","4,668.97",,,
GM FINL CONSUMER AUTOMOBILE RE,0.35,7/17/2023,"2,042,689.31","2,042,674.40","2,043,929.63",,,
HYUNDAI AUTO LEASE SECURITIZAT,0.36,1/17/2023,"854,216.03","854,153.50","854,841.57",,,
HYUNDAI AUTO RECEIVABLES TR 20,0.38,3/15/2023,"2,383,777.94","2,383,547.19","2,385,121.68",,,
MERCEDES BENZ AUTO LEASE TR 20,1.82,3/15/2022,"50,570.41","50,568.33","50,606.47",,,
Account or Security,Coupon,Date,Quantity,Cost Value,Market Value,,,
MERCEDES-BENZ AUTO LEASE TR 20,0.18,3/15/2023,"3,088,730.90","3,088,707.42","3,088,990.97",,,
MERCEDES-BENZ AUTO LEASE TR 20,0.22,1/16/2024,"5,020,000.00","5,019,579.32","5,019,272.60",,,
NISSAN AUTO LEASE TR 2020-B .3,0.34,12/15/2022,"2,692,970.41","2,695,600.26","2,695,048.04",,,
NISSAN AUTO RECEIVABLES 2019-C,0.31,9/15/2022,"88,007.09","88,007.09","88,015.38",,,
PVTPL HYUNDAI AUTO LEASE SECUR,0.19,10/16/2023,"3,430,000.00","3,429,599.72","3,431,138.76",,,
PVTPL MMAF EQUIP FIN LLC 2021-,0.30,4/15/2024,"2,120,000.00","2,119,926.22","2,120,730.13",,,
PVTPL PENARTH MASTER ISSUER PL,0.62,7/18/2023,"1,750,000.00","1,751,400.00","1,750,168.00",,,
PVTPL TESLA AUTO LEASE TR 2021,0.36,3/20/2025,"1,500,000.00","1,499,984.70","1,500,791.25",,,
PVTPL TESLA AUTO LEASE TR SER,0.55,5/22/2023,"998,928.21","998,858.39","1,000,363.37",,,
TOYOTA AUTO RECEIVABLES 2021-B,0.14,1/16/2024,"7,620,000.00","7,619,859.79","7,617,717.81",,,
VERIZON OWNER TR 2019-C NT CL,0.51,4/22/2024,"4,000,000.00","4,016,562.50","4,012,930.00",,,
VOLKSWAGEN AUTO LEASE TR 2020-,0.27,4/20/2023,"4,000,000.00","3,999,720.80","4,002,805.60",,,
WORLD OMNI AUTO RECEIVABLES TR,0.35,12/15/2023,"2,834,222.42","2,833,930.21","2,836,105.19",,,
