Account,Cupn,Maturity Date,Quantity,Cost Value,Market Value,Industry,FF,Ticker
9-200100-Neuberger Intermediate,,,,,,,,
Asset-Backed Securities,,,,,,,,
CHASE FDG MTG LN 2004-1 MTG LN,0.55,12/25/2033,"7,237.63","7,237.63","6,968.47",,,
PFS FING CORP .775% 08-17-2026,0.78,8/17/2026,"1,090,000.00","1,089,872.25","1,084,108.33",,,
Commercial Mortgage Backed Securities,,,,,,,,
BENCHMARK 2021-B26 MTG TR COML,1.00,6/15/1954,"5,571,947.00","383,789.31","384,746.28",,,
CD 2018-CD7 MTG TR COML MTG PA,4.28,8/15/1951,"400,000.00","461,171.88","461,293.12",,,
CD COMMERCIAL MORT TR SER 2018,3.28,8/15/1951,"226,315.59","226,311.50","231,478.57",,,
CITIGROUP COML MTG TR 2014-GC2,3.34,7/10/2047,"428,992.13","433,181.50","446,285.02",,,
CITIGROUP COML MTG TR SR 2017-,3.47,10/12/1950,"255,000.00","275,091.21","280,400.07",,,
CMO CITIGROUP COML MTG TR 2013,3.73,4/10/2046,"585,000.00","583,103.32","608,526.30",,,
CMO CITIGROUP COML MTG TR 2017,2.01,8/15/1950,"61,835.82","61,835.48","61,903.32",,,
CMO CITIGROUP COML MTG TR SER,4.41,11/10/1951,"535,000.00","622,752.54","623,447.11",,,
CMO COMM 2013-CCRE12 MTG TR MT,4.05,10/10/2046,"665,000.00","709,828.91","710,699.73",,,
CMO COMM 2014-CCRE21 MTG TR MT,3.53,12/10/2047,"418,478.78","430,673.52","445,457.81",,,
CMO COMM 2017-COR2 MTG TR COML,2.11,9/10/1950,"74,194.43","74,193.75","74,745.23",,,
CMO COMM MTG TR COML SER 2015-,3.76,8/10/2048,"435,000.00","442,544.53","478,060.04",,,
CMO CSAIL 2017-CX9 COML MTG TR,2.02,9/15/1950,"57,245.11","57,245.04","57,555.24",,,
CMO GS MTG SECS TR 2013-GCJ14,3.82,8/10/2046,"470,190.12","488,905.89","483,545.26",,,
CMO JPMBB COML MTG SECS TR 201,3.80,9/15/2047,"950,000.00","1,000,240.24","1,026,610.95",,,
