Account,Cupn,Maturity Date,Quantity,Cost Value,Market Value,Idustry,FF,Ticker,
9-200100-Northern Trust UI Short Duration,,,,,,,,,
Asset Backed Securities,,,,,,,,,
CAPITAL ONE MULTI-ASSET EXECUT,2.84,12/15/2024,"800,000.00","799,860.64","813,452.16",,,,
CARMAX AUTO OWNER TR SR 20-1 C,1.89,12/16/2024,"140,000.00","139,972.53","142,558.32",,,,
CNH EQUIP TR 2018-A NT CL A-3,3.12,7/17/2023,"78,230.74","78,213.93","78,985.14",,,,
CNH EQUIP TR SER 19-B CL A3 2.,2.52,8/15/2024,"236,875.93","236,823.67","240,259.37",,,,
CNH EQUIP TR SR 19-A CL A3 3.0,3.01,4/15/2024,"320,549.71","320,479.28","325,790.12",,,,
DISCOVER CARD EXECUTION NT TR,3.04,7/15/2024,"730,000.00","729,984.52","741,375.74",,,,
FORD CR AUTO LEASE TR 2020-A N,1.85,3/15/2023,"30,000.00","29,998.54","30,157.58",,,,
FORD CR AUTO OWNER TR 2020-B A,0.56,10/15/2024,"650,000.00","649,910.37","652,318.49",,,,
GM FINL AUTOMOBILE LEASING TR,1.67,12/20/2022,"110,000.00","109,990.10","110,669.78",,,,
GM FINL CONSUMER AUTOMOBILE RE,1.84,9/16/2024,"190,000.00","189,955.25","192,107.03",,,,
JOHN DEERE OWNER TR SER 19-A C,2.91,7/17/2023,"203,241.17","203,216.19","205,588.14",,,,
NISSAN AUTO LEASE TR 2020-B .3,0.34,12/15/2022,"58,908.73","58,905.71","58,954.18",,,,
PVTPL TESLA AUTO LEASE TR 2021,0.36,3/20/2025,"200,000.00","199,997.96","200,105.50",,,,
SYNCHRONY CARD ISSUANCE TR 201,2.95,3/15/2025,"1,055,000.00","1,054,945.88","1,075,499.60",,,,
TOYOTA AUTO REC 2020-A OWNER T,1.66,5/15/2024,"150,000.00","149,989.17","151,963.55",,,,
VERIZON OWNER TR 2020-A NT CL,1.85,7/22/2024,"350,000.00","349,959.02","356,037.60",,,,
WORLD OMNI AUTOMOBILE LEASE SE,1.70,1/17/2023,"80,000.00","79,992.54","81,204.58",,,,
Commercial Mortgage Backed Securities,,,,,,,,,
BANK 2018-BNK14 SER 2018-BN14,4.13,9/15/1960,"850,000.00","875,874.83","899,523.55",,,,
BENCHMARK 2018-B2 SER 2018-B2,3.66,2/15/1951,"430,000.00","442,899.57","445,701.11",,,,
CMO BENCHMARK 2018-B6 MTG TR S,4.20,10/10/1951,"525,000.00","542,337.66","557,513.46",,,,
CMO JPMBB COML MTG SECS TR 201,3.23,10/15/2048,"930,000.00","998,151.56","992,942.58",,,,
CMO MORGAN STANLEY BAML TST SE,2.92,2/15/2046,"535,000.00","537,925.78","550,469.79",,,,
CMO MORGAN STANLEY BK AMER MER,4.22,7/15/2046,"805,000.00","843,489.06","849,325.39",,,,
CMO MORGAN STANLEY BK OF AMER,4.26,10/15/2046,"425,000.00","445,785.16","454,232.35",,,,
CMO WFRBS COML MTG TR 2012-C10,2.88,12/15/2045,"855,000.00","855,534.38","877,071.74",,,,
