Account,Cupn,Maturity Date,Quantity,Cost Value,Market Value,Idustry,FF,Ticker
9-200100-Wells Capital,,,,,,,,
Asset-Backed Securities,,,,,,,,
ARI FLEET LEASE TR 2021-A .68%,0.68,3/15/2030,"1,500,000.00","1,499,575.05","1,495,141.35",,,
CARMAX AUTO OWNER TR 2018-4 SE,3.36,9/15/2023,"441,216.79","441,212.73","447,196.29",,,
CARMAX AUTO OWNER TR 2020-4 SE,0.50,8/15/2025,"500,000.00","499,889.95","501,225.20",,,
CCG RECEIVABLES TR 2020-1 ASSE,0.54,12/14/2027,"360,506.47","360,504.05","361,377.52",,,
DONLEN FLEET LEASE FDG 2 LLC .,0.56,12/11/2034,"750,000.00","749,908.35","750,879.00",,,
FORD CR AUTO LEASE TR 2020-B N,0.62,8/15/2023,"900,000.00","899,949.87","903,280.23",,,
GM FINL AUTOMOBILE LEASING TR,2.03,6/20/2022,"171,957.39","171,938.43","172,377.72",,,
MERCEDES-BENZ AUTO LEASE TRUST,2.00,10/17/2022,"965,330.49","965,177.00","971,810.36",,,
OSCAR US FDG XII LLC NT CL A-3,0.70,4/10/2025,"1,225,000.00","1,224,729.03","1,221,791.01",,,
PVTPL CANADIAN PACER AUTO RECE,3.27,12/19/2022,"95,684.12","95,669.23","96,325.34",,,
PVTPL CHESAPEAKE FDG II LLC 20,0.44,8/15/2030,"561,396.60","561,396.60","561,749.83",,,
PVTPL CHESAPEAKE FDG II LLC SR,0.87,8/16/2032,"312,295.93","312,281.56","313,973.71",,,
PVTPL ENTERPRISE FLEET FING 20,0.44,12/21/2026,"275,000.00","274,986.33","274,999.18",,,
PVTPL ENTERPRISE FLEET FING LL,2.06,5/20/2025,"509,100.55","509,019.76","515,901.11",,,
PVTPL FOURSIGHT CAP AUTOMOBILE,0.64,7/15/2025,"1,550,000.00","1,550,860.85","1,551,163.12",,,
PVTPL HYUNDAI AUTO LEASE SECUR,2.04,8/15/2022,"503,345.49","503,342.56","505,046.14",,,
PVTPL MMAF EQUIP FIN LLC 2019-,2.84,11/13/2023,"941,372.30","941,219.80","957,561.45",,,
PVTPL NEXTGEAR FLOORPLAN MASTE,3.69,10/15/2023,"200,000.00","199,952.66","202,000.88",,,
PVTPL OSCAR US FDG IX LLC NT C,3.39,9/12/2022,"46,971.35","46,969.08","47,119.38",,,
PVTPL SECURITIZED TERM AUTO RE,3.33,8/25/2022,"229,720.51","229,720.51","230,743.25",,,
PVTPL SOFI CONSUMER LOAN PROGR,2.90,5/25/2028,"202,283.88","202,267.88","203,339.52",,,
PVTPL TESLA AUTO LEASE TR SER,3.71,8/20/2021,"1,543.28","1,543.17","1,546.21",,,
PVTPL TRANSPORTATION FIN EQUIP,1.85,4/24/2023,"1,900,000.00","1,899,674.72","1,917,848.60",,,
PVTPL VOLVO FINL EQUIP LLC  SR,2.04,11/15/2023,"1,500,000.00","1,501,464.84","1,517,856.60",,,
SANTANDER RETAIL AUTO LEASE TR,1.86,2/21/2023,"2,000,000.00","1,999,537.60","2,020,602.18",,,
TESLA AUTO LEASE TR 2019-A ASS,2.16,10/20/2022,"1,300,000.00","1,299,848.94","1,317,417.66",,,
TESLA AUTO LEASE TR 2021-A ASS,0.56,3/20/2025,"700,000.00","699,977.53","701,427.44",,,
VERIZON OWNER TR 2019-C NT CL,1.94,4/22/2024,"560,000.00","559,956.82","567,925.62",,,
VERIZON OWNER TR 2020-A NT CL,1.85,7/22/2024,"1,450,000.00","1,449,830.21","1,475,012.93",,,
VOLKSWAGEN AUTO LEASE TR 2019-,1.99,11/21/2022,"494,390.39","494,382.58","497,464.11",,,
VOLKSWAGEN AUTO LEASE TR 2020-,0.39,1/22/2024,"750,000.00","749,858.63","751,057.13",,,
WORLD OMNI AUTOMOBILE LEASE SE,2.94,5/16/2022,"269,587.87","273,378.95","270,080.30",,,
Commercial Mortgage Backed Securities,,,,,,,,
COMM 2014-CCRE14 MTG TR SER 20,3.15,2/10/2047,"64,825.19","67,013.04","64,819.17",,,
Corporate Bonds,,,,,,,,
7-ELEVEN INC .625% DUE,0.63,2/10/2023,"900,000.00","899,253.00","900,535.87",Retail,0,SVNDY
AIR LEASE CORP MED TERM NTS BO,2.25,1/15/2023,"1,000,000.00","990,120.00","1,026,579.06",Aircraft Leases,0,NYSE: AL
ASSOCIATED BK GREEN BAY N A WI,3.50,8/13/2021,"925,000.00","944,230.75","925,925.50",Finacial Services,0,NYSE: ASB
ATHENE GLOBAL FDG MEDIUM TERM,3.00,7/1/2022,"1,000,000.00","1,013,570.00","1,025,244.65",Finacial Services,0,
ATMOS ENERGY CORP SR NT .625%,0.63,3/9/2023,"1,500,000.00","1,499,940.00","1,500,461.15",Energy,1,NYSE: ATO
AUTODESK INC 3.6% DUE,3.60,12/15/2022,"900,000.00","931,374.00","932,122.04",Software,0,Nasdaq: ADSK
AVOLON HLDGS FDG LTD 3.625% DU,3.63,5/1/2022,"450,000.00","449,671.50","460,392.89",Aircaft Lease,0,NYSE: AWX
BANCO SANTANDER S A .701% DUE,0.70,6/30/2024,"800,000.00","800,000.00","801,597.46",Finacial Services,0,NYSE:SAN
BANK AMER CORP .981% DUE,0.98,9/25/2025,"200,000.00","200,000.00","199,846.00",Finacial Services,0,NYSE: BAC
BANK AMER CORP 3.124% DUE 01-2,3.12,1/20/2023,"1,310,000.00","1,320,561.20","1,329,724.24",Finacial Services,0,NYSE: BAC
BANK OF MONTREAL 2.9% DUE 03-2,2.90,3/26/2022,"1,225,000.00","1,252,648.25","1,249,604.25",Finacial Services,0,NYSE:BMO
BARCLAYS PLC 1.007% DUE,1.01,12/10/2024,"800,000.00","800,665.00","802,853.24",Finacial Services,0,NYSE:BCS
CAPITAL ONE BK USA NATL ASSN G,2.01,1/27/2023,"1,000,000.00","1,000,000.00","1,009,340.71",Finacial Services,0,NYSE:COF
CENTERPOINT ENERGY RES CORP DE,0.70,3/2/2023,"900,000.00","899,127.00","900,085.29",Energy,1,NYSE:CNP
CIGNA CORP NEW .613% 03-15-202,0.61,3/15/2024,"550,000.00","550,000.00","549,717.78",Insuracne,0,NYSE:CI
CNH INDL CAP LLC 4.375% DUE 04,4.38,4/5/2022,"910,000.00","917,343.70","936,110.96",Agricultural Machinery,0,NYSE:CNHI
DTE ENERGY CO .55% DUE 11-01-2,0.55,11/1/2022,"1,000,000.00","999,490.00","1,001,931.32",Energy,1,NYSE:DTE
EL PASO PIPELINE PART OP 5.0%,5.00,10/1/2021,"780,000.00","811,543.20","780,000.00",Energy,1,NYSE:EPB
ENTERGY CORP NEW .9% DUE,0.90,9/15/2025,"1,025,000.00","1,020,961.50","1,011,307.98",Energy,1,NYSE:ETR
