,0,1
0,FLORIDA PWR & LT CO,8475837.83
1,CENTERPOINT ENERGY,6702375.75
2,ATMOS ENERGY CO,6582328.06
3,SOUTHERN CALIF EDISON CO,5356763.17
4,DUKE ENERGY,4545233.4799999995
5,BPCE S A MEDIUM TERM NT,4369401.62
6,CHEVRON,4094798.49
7,ONE GAS INC,4058777.68
8,BP CAP MKTS,3991647.3100000005
9,DTE E,3787351.01
10,SHELL INTL FIN B V ,3778892.2199999997
11,DOMINION ENERGY INC,3403196.3
12,TOTAL CAP INTL ,3245651.04
13,EXXON MOBIL CO,3205571.5999999996
14,SCHLUMBERGER,3029476.9299999997
15,EVERSOURCE ENERGY ,2781119.6500000004
16,PIONEER NAT RES CO,2238651.39
17,AMEREN ILL CO,2168595.86
18,NEXTERA ENERGY CAP HLDGS INC,2111132.51
19,WEC ENERGY GROUP INC,2104749.96
20,ENGIE SA NT,2036575.08
21,OCCIDENTAL PETE CO,2034760.0
22,ENTERPRISE PRODS OPER LLC ,1887106.32
23,PPL ELEC UTILS CO,1885599.95
24,PHILLIPS 66,1785804.35
25,BERKSHIRE HATHAWAY ENERGY CO,1512314.38
26,EXELON CO,1468985.26
27,ENEL FIN INTL N V NT,1370345.91
28,INTERSTATE PWR & LT CO,1271393.96
29,JERSEY CENT PWR & LT CO,1238470.33
30,SOUTHERN CALIF GAS CO,1215145.8
31,NATL RURAL UTILS CO,1154000.0
32,DOMINION RES INC,1139079.81
33,ENERGY TRANSFER PARTNERS ,1131169.09
34,ENTERGY CO,1011307.98
35,PEACHTREE CO,985170.65
36,BAKER HUGHES A GE CO,973157.29
37,PVPTL HARVEST OPERATIONS CO,926946.0
38,MPLX LP FLTG RT ,901574.83
39,PPL CAPITAL FUNDING INC,856731.05
40,ENTERGY TEX INC,852169.0
41,EL PASO PIPELINE PART OP ,780000.0
42,AMERICAN ELEC PWR CO,765985.4500000001
43,CANADIAN NAT RES LTD ,720531.61
44,NORTHEAST UTILS ,666918.28
45,VALERO ENERGY CO,665710.08
46,SUNOCO LOGISTICS PARTNERS OPER,598364.41
47,HARVEST OPERATIONS CO,590259.6
48,OGE ENERGY CO,590158.12
49,SOUTHERN CO,498579.63
50,BLACK HILLS CO,489812.97
51,AEP TEX INC,486741.45
52,SOUTHWESTERN PUBLIC SERVICE CO,477727.95
53,ALABAMA PWR CO,445395.48
54,ONCOR ELEC DELIVERY CO,427565.38
55,PUBLIC SVC CO,425057.22
56,NORTHERN STS PWR CO,424780.78
57,ENBRIDGE INC,408742.73
58,ALLIANT ENERGY FIN LLC ,374299.1
59,GETTY PAUL J TR ,363631.25
60,NEXTERA ENERGY CA ,361469.2
61,PUBLIC SVC ELEC GAS CO,340852.18
62,SINOPEC GROUP OVERSEAS D,335554.25
63,MPLX LP BNDS ,318876.11
64,STATOIL ASA FORMERLY STATOIL A,231342.32
65,VIRGINIA ELEC & POWER CO,227616.96
66,ENTERGY ARK INC,222912.05
67,ENTERGY LOUISIANA LLC ,220331.62
68,PACIFICORP ,214396.28
69,SOUTHERN NAT GAS CO,190178.59999999998
70,NORTHWESTERN CO,167795.29
71,KANSAS CITY POWER & LT ,164670.91
72,CONNECTICUT LIGHT & POWER CO,138235.56
73,XCEL ENERGY INC,129973.19
74,NRG ENERGY INC,106522.51
75,OKLAHOMA GAS & ELEC CO,100003.21
76,WILLIAMS PARTNERS L P ,87480.48
77,EAST OHIO GAS CO,30271.76
